"Date,""close_price"",""Negara"",""open_price"",""decrease_price"""
2022-09-28,0.3102,Kuwait,0.301,-0.009199999999999986
2022-09-29,0.30985,Kuwait,0.301,-0.008850000000000025
2022-09-30,0.30924,Kuwait,0.301,-0.008240000000000025
2022-10-03,0.30946,Kuwait,0.301,-0.008460000000000023
2022-10-04,0.30915,Kuwait,0.301,-0.00814999999999999
2022-10-05,0.30887,Kuwait,0.301,-0.007869999999999988
2022-10-06,0.30898,Kuwait,0.301,-0.007979999999999987
2022-10-07,0.3095,Kuwait,0.301,-0.008500000000000008
2022-10-10,0.3095,Kuwait,0.301,-0.008500000000000008
2022-10-11,0.3099,Kuwait,0.301,-0.008900000000000019
2022-10-12,0.30975,Kuwait,0.301,-0.008750000000000036
2022-10-13,0.30995,Kuwait,0.301,-0.008950000000000014
2022-10-14,0.30966,Kuwait,0.301,-0.008660000000000001
2022-10-15,0.3101,Kuwait,0.301,-0.009099999999999997
