"Date","close_price","Negara","open_price","decrease_price"
2022-07-21,1.39298,Singapura,1.349,-0.04398000000000013
2022-07-22,1.3894,Singapura,1.349,-0.04039999999999999
2022-07-25,1.389,Singapura,1.349,-0.040000000000000036
2022-07-26,1.38603,Singapura,1.349,-0.03703000000000012
2022-07-27,1.389,Singapura,1.349,-0.040000000000000036
2022-07-28,1.3817,Singapura,1.349,-0.03269999999999995
2022-07-29,1.3791,Singapura,1.349,-0.030100000000000016
2022-08-01,1.3815,Singapura,1.349,-0.03249999999999997
2022-08-02,1.3762,Singapura,1.349,-0.027200000000000113
2022-08-03,1.3837,Singapura,1.349,-0.03469999999999995
2022-08-04,1.38079,Singapura,1.349,-0.031789999999999985
2022-08-05,1.37535,Singapura,1.349,-0.026350000000000096
2022-08-08,1.38212,Singapura,1.349,-0.03312000000000004
2022-08-09,1.37825,Singapura,1.349,-0.029249999999999998
2022-08-10,1.3783,Singapura,1.349,-0.029300000000000104
2022-08-11,1.3688,Singapura,1.349,-0.01980000000000004
2022-08-12,1.3696,Singapura,1.349,-0.02059999999999995
2022-08-15,1.3706,Singapura,1.349,-0.021600000000000064
2022-08-16,1.37812,Singapura,1.349,-0.029120000000000035
2022-08-17,1.3786,Singapura,1.349,-0.02960000000000007
2022-08-18,1.3814,Singapura,1.349,-0.032399999999999984
2022-08-19,1.3855,Singapura,1.349,-0.03649999999999998
2022-08-22,1.3921,Singapura,1.349,-0.043099999999999916
2022-08-23,1.397,Singapura,1.349,-0.04800000000000004
2022-08-24,1.39265,Singapura,1.349,-0.04364999999999997
2022-08-25,1.3936,Singapura,1.349,-0.04459999999999997
2022-08-26,1.3892,Singapura,1.349,-0.040200000000000014
2022-08-29,1.39726,Singapura,1.349,-0.04825999999999997
2022-08-30,1.39524,Singapura,1.349,-0.04624000000000006
2022-08-31,1.3976,Singapura,1.349,-0.04859999999999998
2022-09-01,1.39863,Singapura,1.349,-0.04963000000000006
2022-09-02,1.40154,Singapura,1.349,-0.05254000000000003
2022-09-05,1.4033,Singapura,1.349,-0.054300000000000015
2022-09-06,1.40213,Singapura,1.349,-0.05313000000000012
2022-09-07,1.40694,Singapura,1.349,-0.0579400000000001
2022-09-08,1.40509,Singapura,1.349,-0.05608999999999997
2022-09-09,1.40385,Singapura,1.349,-0.054850000000000065
2022-09-12,1.398,Singapura,1.349,-0.04899999999999993
2022-09-13,1.3953,Singapura,1.349,-0.04630000000000001
2022-09-14,1.4056,Singapura,1.349,-0.056599999999999984
2022-09-15,1.4054,Singapura,1.349,-0.056400000000000006
2022-09-16,1.4092,Singapura,1.349,-0.06020000000000003
2022-09-19,1.4056,Singapura,1.349,-0.056599999999999984
2022-09-20,1.40742,Singapura,1.349,-0.058419999999999916
2022-09-21,1.41017,Singapura,1.349,-0.06116999999999995
2022-09-22,1.4184,Singapura,1.349,-0.06940000000000013
2022-09-23,1.41794,Singapura,1.349,-0.06894
2022-09-26,1.43008,Singapura,1.349,-0.08108000000000004
2022-09-27,1.43626,Singapura,1.349,-0.08726000000000012
2022-09-28,1.43868,Singapura,1.349,-0.08967999999999998
2022-09-29,1.43644,Singapura,1.349,-0.08743999999999996
2022-09-30,1.43125,Singapura,1.349,-0.08224999999999993
2022-10-03,1.4355,Singapura,1.349,-0.08650000000000002
2022-10-04,1.4306,Singapura,1.349,-0.08160000000000012
2022-10-05,1.42283,Singapura,1.349,-0.07383000000000006
2022-10-06,1.4224,Singapura,1.349,-0.07340000000000013
2022-10-07,1.429,Singapura,1.349,-0.08000000000000007
2022-10-10,1.4343,Singapura,1.349,-0.08529999999999993
2022-10-11,1.43711,Singapura,1.349,-0.08811000000000013
2022-10-12,1.43858,Singapura,1.349,-0.08957999999999999
2022-10-13,1.43471,Singapura,1.349,-0.08570999999999995
2022-10-14,1.43104,Singapura,1.349,-0.08204000000000011
2022-10-15,1.4254,Singapura,1.349,-0.07640000000000002
